2016-06-1203:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1204:00:00,0, 0.,-1.91106.96,106.96
2016-06-1205:00:00,0, 0.,-1.91106.96,106.96
2016-06-1206:00:00,0, 0.,-1.91106.96,106.96
2016-06-1207:00:00,0, 0.,-1.91106.96,106.96
2016-06-1208:00:00,0, 0.,-1.91106.96,106.96
2016-06-1209:00:00,0, 0.,-1.91106.96,106.96
2016-06-1210:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1211:00:00,1, 0.,-1.91106.96,106.96
2016-06-1212:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1213:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1214:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1215:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1216:00:00,0, 0.,-1.91106.96,106.96
2016-06-1217:00:00,1, 0.,-1.91106.96,106.96
2016-06-1218:00:00,0, 0.,-1.91106.96,106.96
2016-06-1219:00:00,0,-0.,-1.91106.96,106.92
2016-06-1220:00:00,1,-0.09,-2.106.92,106.83
2016-06-1221:00:00,1, 0.,-2.106.83,106.83
2016-06-1222:00:00,0,-0.,-2.106.83,106.8
2016-06-1223:00:00,0,-0.,-2.106.8,106.73
2016-06-1300:00:00,0,-0.,-2.106.73,106.47
2016-06-1301:00:00,1,-0.1,-2.1106.47,106.37
2016-06-1302:00:00,1,-0.27,-2.37106.37,106.1
2016-06-1303:00:00,1, 0.09,-2.28106.1,106.19
2016-06-1304:00:00,1,-0.05,-2.33106.19,106.14
2016-06-1305:00:00,0,-0.,-2.33106.14,105.9
2016-06-1306:00:00,1,-0.11,-2.44105.9,105.79
2016-06-1307:00:00,1, 0.19,-2.25105.79,105.98
2016-06-1308:00:00,-1,-0.11,-2.36105.98,106.09
2016-06-1309:00:00,-1, 0.11,-2.25106.09,105.98
2016-06-1310:00:00,1,-0.06,-2.31105.98,105.92
2016-06-1311:00:00,1, 0.07,-2.24105.92,105.99
2016-06-1312:00:00,-1,-0.08,-2.32105.99,106.07
2016-06-1313:00:00,-1, 0.1,-2.22106.07,105.97
2016-06-1314:00:00,1, 0.29,-1.93105.97,106.26
2016-06-1315:00:00,-1,-0.02,-1.95106.26,106.28
2016-06-1316:00:00,-1, 0.22,-1.73106.28,106.06
2016-06-1317:00:00,-1,-0.07,-1.8106.06,106.13
2016-06-1318:00:00,1, 0.03,-1.77106.13,106.16
2016-06-1319:00:00,-1, 0.02,-1.75106.16,106.14
2016-06-1320:00:00,1, 0.03,-1.72106.14,106.17
2016-06-1321:00:00,-1,-0.06,-1.78106.17,106.23
2016-06-1322:00:00,-1, 0.11,-1.67106.23,106.12
2016-06-1323:00:00,1,-0.1,-1.77106.12,106.02
2016-06-1400:00:00,1, 0.15,-1.62106.02,106.17
2016-06-1401:00:00,-1, 0.15,-1.47106.17,106.02
2016-06-1402:00:00,-1,-0.02,-1.49106.02,106.04
2016-06-1403:00:00,-1, 0.1,-1.39106.04,105.94
2016-06-1404:00:00,1, 0.06,-1.33105.94,106.0
2016-06-1405:00:00,1,-0.04,-1.37106.0,105.96
2016-06-1406:00:00,1,-0.04,-1.41105.96,105.92
2016-06-1407:00:00,-1, 0.17,-1.24105.92,105.75
2016-06-1408:00:00,-1,-0.1,-1.34105.75,105.85
2016-06-1409:00:00,0,-0.,-1.34105.85,105.74
2016-06-1410:00:00,-1,-0.1,-1.44105.74,105.84
2016-06-1411:00:00,-1,-0.04,-1.48105.84,105.88
2016-06-1412:00:00,-1,-0.04,-1.52105.88,105.92
2016-06-1413:00:00,-1,-0.03,-1.55105.92,105.95
2016-06-1414:00:00,-1,-0.12,-1.67105.95,106.07
2016-06-1415:00:00,-1, 0.18,-1.49106.07,105.89
2016-06-1416:00:00,1, 0.12,-1.37105.89,106.01
2016-06-1417:00:00,1,-0.02,-1.39106.01,105.99
2016-06-1418:00:00,1, 0.01,-1.38105.99,106.0
2016-06-1419:00:00,1,-0.04,-1.42106.0,105.96
2016-06-1420:00:00,1, 0.16,-1.26105.96,106.12
2016-06-1421:00:00,-1, 0.02,-1.24106.12,106.1
2016-06-1422:00:00,1,-0.1,-1.34106.1,106.0
2016-06-1423:00:00,1, 0.02,-1.32106.0,106.02
2016-06-1500:00:00,1, 0.04,-1.28106.02,106.06
2016-06-1501:00:00,1, 0.03,-1.25106.06,106.09
2016-06-1502:00:00,-1,-0.1,-1.35106.09,106.19
2016-06-1503:00:00,1, 0.05,-1.3106.19,106.24
2016-06-1504:00:00,-1, 0.06,-1.24106.24,106.18
2016-06-1505:00:00,-1, 0.09,-1.15106.18,106.09
2016-06-1506:00:00,-1,-0.03,-1.18106.09,106.12
2016-06-1507:00:00,-1,-0.12,-1.3106.12,106.24
2016-06-1508:00:00,-1,-0.,-1.3106.24,106.24
2016-06-1509:00:00,1, 0.06,-1.24106.24,106.3
