2017-05-1807:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.08],===== Acumulative PL = ,[-0.31],=====,111.23,:,111.31
2017-05-1808:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.43],===== Acumulative PL = ,[-0.74],=====,111.31,:,110.88
2017-05-1809:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.8],=====,110.88,:,110.94
2017-05-1810:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.63],===== Acumulative PL = ,[-0.17],=====,110.94,:,110.31
2017-05-1811:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.15],=====,110.31,:,110.33
2017-05-1812:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.44],===== Acumulative PL = ,[-0.59],=====,110.33,:,110.77
2017-05-1813:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.01],===== Acumulative PL = ,[-0.58],=====,110.77,:,110.76
2017-05-1814:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.24],===== Acumulative PL = ,[-0.82],=====,110.76,:,111.0
2017-05-1815:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.07],===== Acumulative PL = ,[-0.75],=====,111.0,:,111.07
2017-05-1816:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.26],===== Acumulative PL = ,[-1.01],=====,111.07,:,110.81
2017-05-1817:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.15],===== Acumulative PL = ,[-1.16],=====,110.81,:,110.96
2017-05-1818:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.52],===== Acumulative PL = ,[-0.64],=====,110.96,:,111.48
2017-05-1819:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.6],=====,111.48,:,111.44
2017-05-1820:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[-0.72],=====,111.44,:,111.32
2017-05-1821:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.16],===== Acumulative PL = ,[-0.88],=====,111.32,:,111.48
2017-05-1822:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.08],===== Acumulative PL = ,[-0.8],=====,111.48,:,111.56
2017-05-1823:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.87],=====,111.56,:,111.49
2017-05-1900:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.06],===== Acumulative PL = ,[-0.81],=====,111.49,:,111.43
2017-05-1901:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.16],===== Acumulative PL = ,[-0.97],=====,111.43,:,111.27
2017-05-1902:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.09],===== Acumulative PL = ,[-0.88],=====,111.27,:,111.18
2017-05-1903:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.86],=====,111.18,:,111.16
2017-05-1904:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.16],===== Acumulative PL = ,[-1.02],=====,111.16,:,111.32
2017-05-1905:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.98],=====,111.32,:,111.36
2017-05-1906:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.94],=====,111.36,:,111.4
